trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
1.WK.NB.01,5:15:00,5:30:00,6,1,,0,0,,1
1.WK.NB.01,5:31:00,5:31:00,13,2,,0,0,,0
1.WK.NB.01,5:32:00,5:32:00,14,3,,0,0,,0
1.WK.NB.01,5:33:00,5:33:00,15,4,,0,0,,0
1.WK.NB.01,5:34:00,5:34:00,16,5,,0,0,,0
1.WK.NB.01,5:34:01,5:34:01,17,6,,0,0,,0
1.WK.NB.01,5:35:00,5:35:00,18,7,,0,0,,0
1.WK.NB.01,5:36:00,5:36:00,19,8,,0,0,,0
1.WK.NB.01,5:37:00,5:37:00,20,9,,0,0,,0
1.WK.NB.01,5:38:00,5:38:00,21,10,,0,0,,0
1.WK.NB.01,5:38:01,5:38:01,22,11,,0,0,,0
1.WK.NB.01,5:39:00,5:39:00,23,12,,0,0,,0
1.WK.NB.01,5:40:00,5:40:00,24,13,,0,0,,1
1.WK.NB.01,5:40:26,5:40:26,25,14,,0,0,,0
1.WK.NB.01,5:40:40,5:40:40,26,15,,0,0,,0
1.WK.NB.01,5:40:51,5:40:51,27,16,,0,0,,0
1.WK.NB.01,5:41:00,5:41:00,28,17,,0,0,,0
1.WK.NB.01,5:41:51,5:41:51,29,18,,0,0,,0
1.WK.NB.01,5:42:32,5:42:32,30,19,,0,0,,0
1.WK.NB.01,5:43:00,5:43:00,31,20,,0,0,,1
1.WK.NB.01,5:43:01,5:43:01,32,21,,0,0,,0
1.WK.NB.01,5:45:00,5:45:00,33,22,,0,0,,0
1.WK.NB.01,5:47:00,5:47:00,34,23,,0,0,,0
1.WK.NB.01,5:48:00,5:48:00,35,24,,0,0,,1
1.WK.NB.01,5:48:01,5:48:01,36,25,,0,0,,0
1.WK.NB.01,5:49:00,5:49:00,37,26,,0,0,,0
1.WK.NB.01,5:49:01,5:49:01,38,27,,0,0,,0
1.WK.NB.01,5:50:00,5:50:00,39,28,,0,0,,1
