stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
RMT,RMT,"ROTA Main Terminal",,40.334026,-75.925004,,,1,,1
RMT_ENTRANCE_1,RMT_ENTRANCE_1,"RMT Main Entrance",,40.334288,-75.924977,,,2,RMT,1
RMT_ENTRANCE_2,RMT_ENTRANCE_2,"RMT Secondary Entrance",,40.333766,-75.924977,,,2,RMT,1
1,1,"RMT Stop 1",,40.3338254,-75.9245706,,,4,RMT,0
2,2,"RMT Stop 2",,40.3338274,-75.9248496,,,4,RMT,0
3,3,"RMT Stop 3",,40.3338295,-75.9251687,,,4,RMT,0
4,4,"RMT Stop 4",,40.3338438,-75.9254128,,,4,RMT,0
5,5,"RMT Stop 5",,40.334132,-75.9253753,,,4,RMT,0
6,6,"RMT Stop 6",,40.3341321,-75.925099,,,4,RMT,0
7,7,"RMT Stop 7",,40.334124,-75.9247638,,,4,RMT,0
8,8,"RMT Stop 8",,40.3341137,-75.9244902,,,4,RMT,0
9,9,"RMT Stop A",,40.3339379,-75.9255523,,,4,RMT,0
10,10,"RMT Stop B",,40.3341034,-75.9255523,,,4,RMT,0
11,11,"RMT Stop C",,40.3340138,-75.9244391,,,4,RMT,0
12,12,"RMT Stop D",,40.333885,-75.9244446,,,4,RMT,0
13,13,"S 6th St. and Cherry St.",,40.3347336,-75.9258522,,,0,,0
14,14,"Penn St. Bus Shelter 3",,40.3354133,-75.9276146,,,0,,0
15,15,"N 5th St. and Court St.",,40.3364903,-75.9277526,,,0,,0
16,16,"N 5th St. and Washington St.",,40.3372304,-75.9277337,,,0,,0
17,17,"N 5th St. and Walnut St.",,40.3387419,-75.9276894,,,0,,0
18,18,"N 5th St. and Elm St.",,40.3402413,-75.9276457,,,0,,0
19,19,"N 5th St. and Buttonwood St.",,40.3418495,-75.9276007,,,0,,0
20,20,"N 5th St. and Greenwich St.",,40.3447119,-75.9275185,,,0,,0
21,21,"N 5th St. and Oley St.",,40.3462175,-75.9274781,,,0,,0
22,22,"N 5th St. and Douglass St.",,40.3477154,-75.9274413,,,0,,0
23,23,"N 5th St. and Windsor St.",,40.3491378,-75.9273992,,,0,,0
24,24,"N 5th St. and Spring St.",,40.3506633,-75.9273521,,,0,,0
25,25,"N 5th St. and Robeson St.",,40.3522358,-75.9273124,,,0,,0
26,26,"N 5th St. and Marion St.",,40.353649,-75.9272734,,,0,,0
27,27,"N 5th St. and Perry St.",,40.3551364,-75.9272282,,,0,,0
28,28,"N 5th St. and Pike St.",,40.3565103,-75.9271893,,,0,,0
29,29,"N 5th St. and Bern St.",,40.3625103,-75.9270194,,,0,,0
30,30,"Reading Auto Center",,40.3649577,-75.9269123,,,0,,0
31,31,"N 5th Street Hwy. and Crescent Ave.",,40.3677957,-75.9267404,,,0,,0
32,32,"Papa John's Pizza",,40.3689985,-75.9266719,,,0,,0
33,33,"N 5th Street Hwy. and Madison Ave.",,40.3750921,-75.9267554,,,0,,0
34,34,"N 5th Street Hwy. and George St.",,40.3784047,-75.9270427,,,0,,0
35,35,"ROTA Administrative Offices",,40.3808202,-75.9293869,,,0,,0
36,36,"N 5th Street Hwy. and Maderia Plz.",,40.3824685,-75.9273491,,,0,,0
37,37,"Wendy's",,40.3842397,-75.9273531,,,0,,0
38,38,"China Wok",,40.3852001,-75.9273456,,,0,,0
39,39,"N 5th Street Hwy. and E Bellevue Ave. (Sheetz)",,40.3872819,-75.9273458,,,0,,0
40,40,"N 5th Street Hwy. and Elnore Ave.",,40.3984172,-75.9273847,,,0,,0
41,41,"Turkey Hill",,40.4061479,-75.9278391,,,0,,0
42,42,"Allentown Pike and 8th Ave.",,40.4117443,-75.9247118,,,0,,0
43,43,"Allentown Pike and Leesport Ave.",,40.413211,-75.9226366,,,0,,0
44,44,"Walmart Temple Supercenter #2614 (North Reading Plaza)",,40.416993,-75.9206124,,,0,,0
45,45,"Dollar Tree (North Reading Plaza)",,40.4168174,-75.9232352,,,0,,0
46,46,"Namco Pools","Namco Pools closed in 2013/2014. This building is currently for lease as of August 2019.",40.4161337,-75.9239809,,,0,,0
47,47,"Allentown Pike and Leesport Ave.",,40.4130172,-75.9232782,,,0,,0
48,48,"Allentown Pike and Las Vegas Dr.",,40.4112669,-75.9257547,,,0,,0
49,49,"Allentown Pike and San Mateo Ln.",,40.4099765,-75.9273327,,,0,,0
50,50,"N 5th Street Hwy. and Darby Ave.",,40.4022664,-75.9277742,,,0,,0
51,51,"Ross Dress For Less",,40.3959704,-75.9276495,,,0,,0
52,52,"N 5th Street Hwy. and E Bellevue Ave.",,40.3861107,-75.9275959,,,0,,0
53,53,"N 5th Street Hwy. and Muhlenberg Plz.",,40.3838233,-75.9275909,,,0,,0
54,54,"N 5th Street Hwy. and Muhlenberg Plz.",,40.3819677,-75.9275729,,,0,,0
55,55,"N 5th Street Hwy. and Audrey St.",,40.3690013,-75.9268658,,,0,,0
56,56,"N 5th Street Hwy. and Crescent Ave.",,40.3671752,-75.9269775,,,0,,0
57,57,"N 5th St. and Bern St.",,40.362004,-75.9272315,,,0,,0
58,58,"N 5th St. and Pike St.",,40.3559178,-75.9273951,,,0,,0
59,59,"N 5th St. and Perry St.",,40.3545718,-75.9274346,,,0,,0
60,60,"N 5th St. and Marion St.",,40.3530918,-75.9274872,,,0,,0
61,61,"N 5th St. and Robeson St.",,40.3517409,-75.9275067,,,0,,0
62,62,"N 5th St. and Spring St.",,40.3502014,-75.9275511,,,0,,0
63,63,"N 5th St. and Windsor St.",,40.34868,-75.9275958,,,0,,0
64,64,"N 5th St. and Douglass St.",,40.3472741,-75.927633,,,0,,0
65,65,"Royer's Flower Shop",,40.3457596,-75.9276765,,,0,,0
66,66,"N 5th St. and Greenwich St.",,40.3443416,-75.9277203,,,0,,0
67,67,"N 5th St. and Woodward St.",,40.3425012,-75.9277687,,,0,,0
68,68,"N 5th St. and Buttonwood St.",,40.3413047,-75.9277994,,,0,,0
69,69,"N 5th St. and Elm St.",,40.3398204,-75.9278173,,,0,,0
70,70,"N 5th St. and Walnut St.",,40.3383183,-75.9278765,,,0,,0
71,71,"N 5th St. and Court St.",,40.3360291,-75.9279491,,,0,,0
72,72,"S 5th St. and Penn St.",,40.3349346,-75.9279755,,,0,,0
73,73,"S 5th St. and Cherry St.",,40.3342208,-75.9280016,,,0,,0
74,74,"Franklin St. and S 5th St.",,40.3336195,-75.9276563,,,0,,0
75,75,"Franklin St. and S 6th St.",,40.3335863,-75.925442,,,0,,0
76,76,"BARTA Transportation Center",,40.3335596,-75.9236651,,,0,,0
77,77,"Franklin St. and Lemon St.",,40.333547,-75.9227692,,,0,,0
78,78,"Franklin St. and S 8th St.",,40.3335383,-75.9217608,,,0,,0
79,79,"Franklin St. and Peach St.",,40.3335222,-75.9208867,,,0,,0
80,80,"S 9th St. and Franklin St.",,40.3337806,-75.920061,,,0,,0
81,81,"S 9th St. and Cherry St.",,40.3344824,-75.9200456,,,0,,0
82,82,"N 9th St. and Penn St.",,40.3354187,-75.9200097,,,0,,0
83,83,"N 9th St. and Court St.",,40.3362568,-75.9199845,,,0,,0
84,84,"N 9th St. and Washington St.",,40.3370489,-75.9199601,,,0,,0
85,85,"N 9th St. and Walnut St.",,40.3384893,-75.919923,,,0,,0
86,86,"N 9th St. and Elm St.",,40.3400458,-75.9198755,,,0,,0
87,87,"N 9th St. and Buttonwood St.",,40.3416459,-75.9198299,,,0,,0
88,88,"N 9th St. and Green St.",,40.3431143,-75.9197886,,,0,,0
89,89,"N 9th St. and Greenwich St.",,40.3445806,-75.9197487,,,0,,0
90,90,"N 9th St. and Oley St.",,40.3461035,-75.9197072,,,0,,0
91,91,"N 9th St. and Douglass St.",,40.3475781,-75.9196675,,,0,,0
92,92,"N 9th St. and Windsor St.",,40.3490515,-75.9196228,,,0,,0
93,93,"N 9th St. and Spring St.",,40.3506569,-75.9195819,,,0,,0
94,94,"N 9th St. and Robeson St.",,40.3520759,-75.9195417,,,0,,0
95,95,"N 9th St. and Marion St.",,40.35375,-75.9194943,,,0,,0
96,96,"N 9th St. and Perry St.",,40.3549435,-75.9194608,,,0,,0
97,97,"N 9th St. and Pike St.",,40.3565182,-75.9194175,,,0,,0
98,98,"N 9th St. and Amity St.",,40.3581837,-75.9193681,,,0,,0
99,99,"N 9th St. and Union St.",,40.3594408,-75.919331,,,0,,0
100,100,"Kutztown Rd. and Exeter St.",,40.3610682,-75.9183533,,,0,,0
101,101,"Kutztown Rd. and Rockland St.",,40.3654086,-75.9191245,,,0,,0
102,102,"Kutztown Rd. and Delta Ave.",,40.3710462,-75.9197709,,,0,,0
103,103,"Kutztown Rd. and Jefferson St.",,40.3731668,-75.9193269,,,0,,0
104,104,"Kutztown Rd. and Madison Ave.",,40.3753846,-75.9185808,,,0,,0
105,105,"Kutztown Rd. and N 11th St.",,40.3772814,-75.9184506,,,0,,0
106,106,"Kutztown Rd. and Seminary Ave.",,40.3785541,-75.9189269,,,0,,0
107,107,"Kutztown Rd. and Summit Ave.",,40.3801062,-75.9194303,,,0,,0
108,108,"Kutztown Rd. and Rothermel St.",,40.3818193,-75.9198892,,,0,,0
109,109,"Holy Guardian Angels Roman Catholic Church & Regional School",,40.3827564,-75.9200244,,,0,,0
110,110,"Kutztown Rd. and Avenue A.",,40.3843362,-75.9201354,,,0,,0
111,111,"Kutztown Rd. and Grove St.",,40.386159,-75.9203055,,,0,,0
112,112,"Elizabeth Ave. and Orchard Pl.",,40.3875797,-75.9195189,,,0,,0
113,113,"Elizabeth Ave. and Fairfield St.",,40.3879247,-75.9185066,,,0,,0
114,114,"Elizabeth Ave. and Fremont St.",,40.3882367,-75.9176147,,,0,,0
115,115,"Elizabeth Ave. and Arlington St.",,40.388576,-75.9166282,,,0,,0
116,116,"Elizabeth Ave. and Ridgeway St.",,40.3889076,-75.915655,,,0,,0
117,117,"Montclare St. and Elizabeth Ave.",,40.3898551,-75.9151914,,,0,,0
118,118,"E Bellevue Ave. and Montclare St.",,40.3905869,-75.915956,,,0,,0
119,119,"E Bellevue Ave. and Ridgeway St.",,40.3902476,-75.9169499,,,0,,0
120,120,"E Bellevue Ave. and Arlington St.",,40.3899193,-75.9179152,,,0,,0
121,121,"E Bellevue Ave. and Fremont St.",,40.3895749,-75.918898,,,0,,0
