route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,WEEKDAY,1.WK.NB.01,"Temple via 5th Street",0,1,1_0,0,0
1,WEEKDAY,1.WK.NB.02,"Temple via 5th Street",0,2,1_0,0,0
1,WEEKDAY,1.WK.SB.01,"RMT via 5th Street",1,1,1_1,0,0
1,WEEKDAY,1.WK.SB.02,"RMT via 5th Street",1,2,1_1,0,0
1,SATURDAY,1.ST.NB.01,"Temple via 5th Street",0,1,1_0,0,0
1,SATURDAY,1.ST.SB.01,"RMT via 5th Street",1,1,1_1,0,0
1,SUNDAY,1.SN.NB.01,"Temple via 5th Street",0,1,1_0,0,0
1,SUNDAY,1.SN.SB.01,"RMT via 5th Street",1,1,1_1,0,0
2,WEEKDAY,2.WK.NB.01,"Laureldale via Kutztown Road",0,3,2_0,0,0
2,WEEKDAY,2.WK.NB.02,"Laureldale via Kutztown Road",0,4,2_0,0,0
2,WEEKDAY,2.WK.SB.01,"RMT via Kutztown Road",1,3,2_1,0,0
2,WEEKDAY,2.WK.SB.02,"RMT via Kutztown Road",1,4,2_1,0,0
2,SATURDAY,2.ST.NB.01,"Laureldale via Kutztown Road",0,3,2_0,0,0
2,SATURDAY,2.ST.SB.01,"RMT via Kutztown Road",1,3,2_1,0,0
3,WEEKDAY,3.WK.NB.01,"4th/6th Streets",0,5,3_0,0,0
3,WEEKDAY,3.WK.SB.01,"RMT via 4th Street",1,5,3_1,0,0
3,SATURDAY,3.ST.NB.01,"4th/6th Streets",0,5,3_0,0,0
3,SATURDAY,3.ST.SB.01,"RMT via 4th Street",1,5,3_1,0,0
3,SUNDAY,3.SN.NB.01,"4th/6th Streets",0,5,3_0,0,0
3,SUNDAY,3.SN.SB.01,"RMT via 4th Street",1,5,3_1,0,0
4,WEEKDAY,4.WK.NB.01,"Hampden Heights/Albright College",0,6,4_0,0,0
4,WEEKDAY,4.WK.NB.02,"Hampden Heights/Albright College",0,7,4_0,0,0
4,WEEKDAY,4.WK.SB.01,"RMT/Albright College",1,6,4_1,0,0
4,WEEKDAY,4.WK.SB.02,"RMT/Albright College",1,7,4_1,0,0
4,SATURDAY,4.ST.NB.01,"Hampden Heights/Albright College",0,6,4_0,0,0
4,SATURDAY,4.ST.SB.01,"RMT/Albright College",1,7,4_1,0,0
5,WEEKDAY,5.WK.EB.01,"Antietam Valley via Perkiomen Avenue",0,8,5_0,0,0
5,WEEKDAY,5.WK.EB.02,"Antietam Valley via Perkiomen Avenue",0,9,5_0,0,0
5,WEEKDAY,5.WK.WB.01,"RMT via Perkiomen Avenue",1,8,5_1,0,0
5,WEEKDAY,5.WK.WB.02,"RMT via Perkiomen Avenue",1,9,5_1,0,0
5,SATURDAY,5.ST.EB.01,"Antietam Valley via Perkiomen Avenue",0,8,5_0,0,0
5,SATURDAY,5.ST.WB.01,"RMT via Perkiomen Avenue",1,8,5_1,0,0
6,WEEKDAY,6.WK.EB.01,"Reiffton/Exeter Common's",0,10,6_0,0,0
6,WEEKDAY,6.WK.EB.02,"Reiffton/Exeter Common's",0,11,6_0,0,0
6,WEEKDAY,6.WK.WB.01,"RMT/Exeter Common's",1,10,6_1,0,0
6,WEEKDAY,6.WK.WB.02,"RMT/Exeter Common's",1,11,6_1,0,0
6,SATURDAY,6.ST.EB.01,"Reiffton/Exeter Common's",0,10,6_0,0,0
6,SATURDAY,6.ST.WB.01,"RMT/Exeter Common's",1,10,6_1,0,0
6,SUNDAY,6.SN.EB.01,"Reiffton/Exeter Common's",0,10,6_0,0,0
6,SUNDAY,6.SN.WB.01,"RMT/Exeter Common's",1,10,6_1,0,0
7,WEEKDAY,7.WK.SB.01,"Kenhorst Plaza via Millmont",0,12,7_0,0,0
7,WEEKDAY,7.WK.NB.01,"RMT via Millmont",1,12,7_1,0,0
7,SATURDAY,7.ST.SB.01,"Kenhorst Plaza via Millmont",0,12,7_0,0,0
7,SATURDAY,7.ST.NB.01,"RMT via Millmont",1,12,7_1,0,0
